Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,SAMPLE_NAME,MSKC_00533,MSKC_00534,MSKC_00535,MSKC_00536,MSKC_00537,MSKC_00538,MSKC_00539,MSKC_00540,MSKC_00541,MSKC_00542,MSKC_00543,MSKC_00544,MSKC_00545,MSKC_00546,MSKC_00547
2934,"4-cholesten-3-one",Lipid,"Sterol",38125,LC/MS Pos Late,100002227,2520,385.3465,601-57-0,91477,427,C00599,HMDB00921,0.8655,0.585,1.0013,0.7377,0.8231,1.16,1.0134,0.3533,1.2755,0.5423,0.9443,1.0968,1.3317,1.169,1
501,"4-guanidinobutanoate",Amino Acid,"Guanidino and Acetamido Metabolism",15681,LC/MS Pos Early,100000096,2320,146.0924,463-003;463-00-3,500,486,C01035,HMDB03464,1.5873,1.5864,1.8932,1,0.9889,0.8357,0.8005,0.8033,0.8536,0.8983,1.3831,1.3807,0.9684,1.2988,1.0965
523,"4-hydroxy-nonenal-glutathione",Amino Acid,"Glutathione Metabolism",48487,LC/MS Neg,100006240,3319.2,462.1916,99927-70-5,,,,,1.1783,0.9468,1.1313,0.9116,1.0532,0.5174,0.4005,0.9029,0.4005,0.6198,1.1892,1.1849,0.9353,1.7773,1.1797
1752,"4-hydroxybutyrate (GHB)",Lipid,"Fatty Acid, Monohydroxy",34585,LC/MS Pos Early,100001507,1148,87.0441,502-85-2,10413,9984,C00989,HMDB00710,0.7342,0.5067,0.8654,0.5882,1.1883,1,1.3315,1.1536,1.0852,0.9525,0.9144,1.1793,0.721,1.1696,1.0025
48,"4-hydroxyglutamate",Amino Acid,"Glutamate Metabolism",40499,LC/MS Pos Early,100002544,1141,164.0554,2485-33-8,439902,388936,C03079,HMDB01344,0.7962,0.7577,0.8226,0.854,0.7852,1.0731,1.1071,1.2205,1.32,1.0858,1.028,1.1177,0.859,1,0.803
90,"4-imidazoleacetate",Amino Acid,"Histidine Metabolism",32349,LC/MS Pos Early,100001207,2055,127.0502,645-65-8,96215,86856,C02835,HMDB02024,1.1407,1.0194,1.1784,1.0275,1.0166,0.8429,0.8816,0.8891,0.9178,0.9422,1.1386,1.1225,0.8946,1,0.8513
302,"4-methyl-2-oxopentanoate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22116,LC/MS Neg,100000551,2170,129.0557,816-66-0,70,69,C00233,HMDB00695,0.876,1.0614,1.1212,0.7031,0.8018,0.6651,1.2398,1,1.1282,1.2562,1.8119,1.1787,0.889,0.6574,0.8779
3953,"5,6-dihydrothymine",Nucleotide,"Pyrimidine Metabolism, Thymine containing",1418,LC/MS Pos Early,158,1280,129.0659,696-04-8,93556,84456,C00906,HMDB00079,0.1038,0.1038,0.2141,0.1038,0.1038,0.8777,1.0933,0.5991,0.7363,1.0964,1.5848,1.4674,1.1532,1.0389,0.9611
3900,"5,6-dihydrouridine",Nucleotide,"Pyrimidine Metabolism, Uracil containing",61833,LC/MS Neg,100001425,1119,245.0779,04-May-5627,94312,85115,,,0.3924,0.3228,0.3798,0.3812,0.3618,1,0.9457,0.9138,1.0861,1.0878,1.914,1.9017,1.9901,2.1318,1.7621
112,"5-(galactosylhydroxy)-L-lysine",Amino Acid,"Lysine Metabolism",43582,LC/MS Pos Early,100002462,2755,325.1606,32448-36-5,123986,,,,0.7554,0.7172,1.0085,0.8891,0.9373,0.8322,0.9653,1,1.2116,0.8764,1.3855,2.0585,1.3462,1.6035,1.4134
128,"5-aminovalerate",Amino Acid,"Lysine Metabolism",18319,LC/MS Pos Early,100000454,2220,118.0863,660-88-8,138,135,C00431,HMDB03355,1.5061,1.3648,1.4979,1.5727,1.4865,1,0.9904,0.9639,1.2059,1.0645,0.9156,0.9183,0.7118,0.9224,0.7907
268,"5-hydroxyindoleacetate",Amino Acid,"Tryptophan Metabolism",437,LC/MS Pos Early,71,1893,192.0655,54-16-0,1826,1760,C05635,HMDB00763,0.233,0.4524,0.5752,2.5207,1.8114,2.0941,0.9762,1.503,2.3592,2.0627,0.7012,0.6201,1,1.702,0.6501
111,"5-hydroxylysine",Amino Acid,"Lysine Metabolism",15685,LC/MS Pos Early,100000054,2790,163.1077,13204-98-3,1029,1002,C16741,HMDB00450,0.4567,0.6292,0.6906,0.7224,0.6321,0.9436,1.1857,1.0628,1.2245,1,1.3112,1.7059,1.3522,1.3083,0.9874
4056,"5-methyltetrahydrofolate (5MeTHF)",Cofactors and Vitamins,"Folate Metabolism",18330,LC/MS Neg,1244,1820,458.1793,68703-91-3;68792-52-9,146,143,C00440,HMDB01396,1.1925,1.1452,1.3121,1.3708,1.2378,0.1629,0.1629,0.2451,0.1629,0.1629,0.9335,0.9885,0.6463,1.0115,0.9522
494,"5-methylthioadenosine (MTA)",Amino Acid,"Polyamine Metabolism",1419,LC/MS Pos Early,212,2752,298.0968,2457-80-9,439176,388321,C00170,HMDB01173,0.8853,0.7287,0.8241,0.8352,0.924,1.0738,1.1913,1.1806,1.2826,1.146,1.0409,1.0094,1,0.9225,0.7649
3902,"5-methyluridine (ribothymidine)",Nucleotide,"Pyrimidine Metabolism, Uracil containing",35136,LC/MS Neg,100001446,1778.1,257.0779,1463-10-1,445408,393058,,HMDB00884,1.3895,1.0897,1.2036,1.0092,0.9834,1.2068,1,1.4157,1.2756,0.9033,0.8439,0.7014,0.9387,0.6509,0.5693
514,"5-oxoproline",Amino Acid,"Glutathione Metabolism",1494,LC/MS Neg,1021,738.5,128.0353,98-79-3,7405,7127,C01879,HMDB00267,1.0012,0.9876,1.04,0.9445,1.0586,0.8977,1.0274,1.1028,1.0938,0.9585,1.0031,1,0.8247,0.9249,0.794
1118,"6-phosphogluconate",Carbohydrate,"Pentose Phosphate Pathway",15442,LC/MS Neg,100000341,583.9,275.0174,921-62-0;53411-70-4,91493,82615,C00345,HMDB01316,1.3581,1.3374,1.5632,1.0524,1.2052,0.1974,0.087,0.1971,0.1611,0.0861,1.0689,1,0.7269,1.8819,0.8911
2955,"7-hydroxycholesterol (alpha or beta)",Lipid,"Sterol",47890,LC/MS Pos Late,100005999,1930,367.3359,,107722,,,HMDB06119,0.9215,1.0625,1.0362,0.6903,0.6669,0.8781,0.8841,0.9019,1.04,0.8178,1.2345,1.3422,1.2503,1.2033,1
3865,"7-methylguanine",Nucleotide,"Purine Metabolism, Guanine containing",35114,LC/MS Pos Early,100001456,2175,166.0723,578-76-7,11361,10883,C02242,HMDB00897,0.5744,0.5721,0.6297,0.6022,0.6155,0.9253,1.1351,1.2028,1.2528,1.2733,1.2446,1.3259,1,1.1434,0.9148
1336,"acetyl CoA",Lipid,"Fatty Acid Metabolism",43840,LC/MS Neg,1830,1691,403.5556,102029-73-2,444493,392413,C00024,HMDB01206,1.0058,1.0217,1.4026,1.3358,1.0268,0.4221,0.5321,0.4952,0.6314,0.4221,0.9942,1.1863,0.7546,1.0689,0.7697
1657,"acetylcarnitine (C2)",Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)",32198,LC/MS Pos Early,100000802,2282,204.123,5080-50-2,1,5406074,C02571,HMDB00201,0.9344,0.8948,1,1.023,0.9916,1.2374,1.3971,1.3822,1.4348,1.3894,0.9302,1.0174,0.7931,0.9328,0.8271
1330,"acetylphosphate",Energy,"Oxidative Phosphorylation",15488,LC/MS Polar,1211,4013.9,138.9802,94249-01-1,186,181,C00227,HMDB01494,1.4504,1.0788,1.2797,1.102,1.335,0.2775,0.227,0.5277,0.2998,0.2111,1.3441,1.1179,1,0.9587,0.8804
1307,"aconitate [cis or trans]",Energy,"TCA Cycle",46173,LC/MS Neg,100001359,580,173.0092,,,,,,1.0889,1.1793,1.2008,0.9223,1,1.0325,0.9595,1.1473,1.3249,1.0587,0.975,0.963,0.762,0.8997,0.8405
3826,"adenine",Nucleotide,"Purine Metabolism, Adenine containing",554,LC/MS Pos Early,880,2221,136.0618,73-24-5,190,185,C00147,HMDB00034,0.432,0.431,0.5388,0.4091,0.3975,1.8962,1.8335,1.6675,2.425,1.9662,1,0.9186,1.3915,2.7526,0.979
3825,"adenosine",Nucleotide,"Purine Metabolism, Adenine containing",555,LC/MS Pos Early,798,2169,268.104,58-61-7,60961,54923,C00212,HMDB00050,0.7485,0.6401,0.8272,0.9489,0.8071,1.6711,1.2877,1.276,2.398,2.0326,1,0.7896,1.0139,1.6971,0.6893
3821,"adenosine 3',5'-cyclic monophosphate (cAMP)",Nucleotide,"Purine Metabolism, Adenine containing",2831,LC/MS Neg,207,1952.2,328.0452,60-92-4,6076,268,C00575,HMDB00058,0.9838,0.9544,0.9434,0.7593,0.845,0.9978,1.125,1.097,1.2537,1.2364,1.255,1.1496,0.95,1.2157,1
3817,"adenosine 5'-diphosphate (ADP)",Nucleotide,"Purine Metabolism, Adenine containing",3108,LC/MS Neg,208,680,426.0221,20398-34-9,6022,5800,C00008,HMDB01341,0.8584,0.8438,1.0232,0.9228,0.8567,1.1178,1.0861,1.1478,1.3423,1.1697,1,0.9058,0.964,1.0789,0.7646
3997,"adenosine 5'-diphosphoribose (ADP-ribose)",Cofactors and Vitamins,"Nicotinate and Nicotinamide Metabolism",558,LC/MS Polar,215,3640,558.0644,68414-18-6,192,3674071,C00301,HMDB01178,1.7722,1.5975,1.5381,1.2657,1.1296,0.3888,0.7144,0.9885,1.0115,0.5772,0.9154,0.8381,0.3888,1.1695,0.8177
3818,"adenosine 5'-monophosphate (AMP)",Nucleotide,"Purine Metabolism, Adenine containing",32342,LC/MS Pos Early,209,1013,348.0704,149022-20-8,6083,10239183,C00020,HMDB00045,1.3693,1,0.6782,1.0387,0.7613,1.0159,1.6495,1.2466,2.0097,1.9061,0.6459,0.6591,0.4464,0.9621,0.6647
3816,"adenosine 5'-triphosphate (ATP)",Nucleotide,"Purine Metabolism, Adenine containing",33449,LC/MS Neg,210,631,505.9885,34369-07-8;51963-61-2,5957,5742,C00002,HMDB00538,0.6046,0.8193,1,0.8411,0.7949,1.3471,1.2415,1.3877,1.6526,1.2637,0.9365,0.6825,1.0311,1.015,0.6161
3824,"adenylosuccinate",Nucleotide,"Purine Metabolism, Adenine containing",18360,LC/MS Neg,1303,560,230.5297,19046-78-7,195,190,C03794,HMDB00536,1,0.2237,0.2866,1.0195,0.6141,2.2745,3.6303,2.0606,2.7893,3.3794,0.3417,0.2237,0.2237,0.8661,0.5332
1425,"adrenate (22:4n6)",Lipid,"Long Chain Polyunsaturated Fatty Acid (n3 and n6)",32980,LC/MS Neg,100001193,5678,331.2643,2091-25-0,5497181,4445971,C16527,HMDB02226,0.2468,0.0984,0.0756,0.0812,0.1053,1.1794,1.079,1.4456,1.188,1,1.1024,1.4002,0.714,0.9121,1.0299
1704,"adrenoylcarnitine (C22:4)*",Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)",57528,LC/MS Pos Late,100015850,1415,476.3734,,,,,,0.3579,0.2971,0.4312,0.3838,0.373,1.5148,2.0031,1.531,1.4902,1.7034,1.0598,1,1.0092,0.6517,0.7025
28,"alanine",Amino Acid,"Alanine and Aspartate Metabolism",1126,LC/MS Pos Early,811,1700,90.055,56-41-7,5950,5735,C00041,HMDB00161,1,0.9754,1.083,1.0847,1.0671,0.8997,1.0183,1.0765,1.1098,1.0565,0.9252,0.9747,0.7762,0.9883,0.7542
594,"alanylleucine",Peptide,"Dipeptide",37093,LC/MS Pos Early,100001890,3055,203.139,1638-60-4,259583,227831,,HMDB28691,0.4727,0.2897,0.4878,0.6402,0.7516,1.2929,0.7738,1,1.5142,0.9851,1.2186,1.788,2.2219,2.3392,1.4269
3812,"allantoin",Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",1107,LC/MS Polar,1002,1672,157.0367,97-59-6,204,199,C02350,HMDB00462,1.0887,0.9785,1.0468,0.9713,1.1406,0.8765,1.0174,1.0128,1,0.8678,1.0883,1.0216,0.8558,0.9746,0.906
372,"alpha-hydroxyisovalerate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",46537,LC/MS Polar,100001300,1052,117.0557,600-37-3,99823,90190,,HMDB00407,1.0148,0.8922,1.0592,1.0107,1.0788,0.535,0.7611,0.571,0.7111,0.5483,1.08,1.1143,0.944,1.0293,1
44,"alpha-ketoglutaramate*",Amino Acid,"Glutamate Metabolism",62101,LC/MS Polar,100002397,1916,144.0302,18465-19-5,48,,,,0.6671,0.6194,0.6802,0.7546,0.6567,1.1309,1.276,1.1938,1.3865,1.191,1.024,1,0.8052,1.0167,0.6595
1311,"alpha-ketoglutarate",Energy,"TCA Cycle",528,LC/MS Polar,93,2700,145.0143,305-72-6;328-50-7;22202-68-2,51,50,C00026,HMDB00208,1,1.0616,1.0484,0.9462,1.0876,0.7805,1.0739,0.9913,0.9508,0.9855,1.2588,1.3254,1.0108,0.9454,0.9806
4028,"alpha-tocopherol",Cofactors and Vitamins,"Tocopherol Metabolism",1561,LC/MS Pos Late,1105,2522,430.3782,59-02-9;10191-41-0,14985,14265,C02477,HMDB01893,0.0756,0.0748,0.0793,1.0493,1.0476,0.9878,0.9495,0.9462,1,0.8141,1.3887,1.2709,1.0941,1.3142,1.1329
1149,"arabitol/xylitol",Carbohydrate,"Pentose Metabolism",48885,LC/MS Polar,100006430,1932.4,151.0612,,6912;94154,,,,1.2335,1.2496,1.3089,1.2032,1.3705,0.9405,1.0123,1,1.0611,0.9156,0.9034,0.8482,0.7142,0.8145,0.7486
1155,"arabonate/xylonate",Carbohydrate,"Pentose Metabolism",48255,LC/MS Polar,100006115,2700,165.0405,,122045;6602431,,,,0.9489,1.8314,0.9702,1.2033,1.5401,1.2904,1.1463,0.5902,0.9629,1.1443,0.8591,1.1288,0.9188,1,0.7041
1370,"arachidate (20:0)",Lipid,"Long Chain Saturated Fatty Acid",1118,LC/MS Neg,893,6240,311.2955,506-30-9,10467,10035,C06425,HMDB02212,2.4154,1.2298,0.9501,0.9537,1.4145,0.9404,1,1.224,1.1379,1.1238,0.8877,1.1778,0.5064,0.6876,0.909
1423,"arachidonate (20:4n6)",Lipid,"Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1110,LC/MS Neg,229,5535,303.233,506-32-1,444899,392692,C00219,HMDB01043,0.1417,0.0583,0.0544,0.0506,0.0699,1.0005,1.0418,1.4012,1.1948,1,1.2455,1.8473,0.6656,0.9057,1.305
1347,"arachidonoyl CoA",Lipid,"Fatty Acid Metabolism",57752,LC/MS Polar,230,2573,525.6652,799812-91-2,,21402992,C02249,HMDB03951,0.3433,0.3073,0.245,0.245,0.245,0.245,0.9136,1.0864,0.6659,0.5268,2.1506,2.1358,1.7035,2.3325,1.5983
1940,"arachidonoyl ethanolamide",Lipid,"Endocannabinoid",32463,LC/MS Pos Late,1488,1560,348.2897,94421-68-8,5281969,4445241,C11695,HMDB04080,0.2729,0.2729,0.2729,0.3709,0.2729,1.1198,0.7516,0.7423,0.9708,0.883,1.1479,1.1666,1.1024,1.2147,1.0292
1699,"arachidonoylcarnitine (C20:4)",Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)",57518,LC/MS Pos Late,100015837,1353,448.3422,,,,,,0.3313,0.3978,0.4478,0.4544,0.3942,0.9845,1.3644,1.3055,0.934,1.1741,1.6391,1.3434,1.4122,1.0259,1
1675,"arachidoylcarnitine (C20)*",Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",57513,LC/MS Pos Late,100015833,1512,456.4047,,,28639199,,HMDB06460,1.0997,1.1588,1.0567,0.541,0.541,0.9906,1.0859,0.8415,0.541,1.0094,0.8397,0.541,0.6395,0.541,0.541
426,"arginine",Amino Acid,"Urea cycle; Arginine and Proline Metabolism",1638,LC/MS Pos Early,231,2825,175.119,1119-34-2,232,227,C00062,HMDB00517,0.8406,0.8605,0.9501,0.8641,0.7968,0.9382,1.0014,1.0974,1.0911,1,1.2883,1.3414,1.1042,1.2989,0.9551
427,"argininosuccinate",Amino Acid,"Urea cycle; Arginine and Proline Metabolism",15497,LC/MS Pos Early,232,2745,291.1299,156637-58-0,16950,805,C03406,HMDB00052,0.6678,0.7912,0.7365,0.8983,0.8585,0.9234,1.0518,1.3712,0.9311,1.1923,1.3706,1.4259,1.0692,1.5813,1
39,"asparagine",Amino Acid,"Alanine and Aspartate Metabolism",512,LC/MS Pos Early,917,1225,133.0608,70-47-3,6267,6031,C00152,HMDB00168,0.9173,0.9049,0.955,1.0181,0.9904,1.0129,1.0832,1.2031,1.2581,1.1571,0.9837,1.0633,0.8276,1,0.8682
35,"aspartate",Amino Acid,"Alanine and Aspartate Metabolism",443,LC/MS Pos Early,234,1165,134.0448,56-84-8,5960,5745,C00049,HMDB00191,0.9072,0.9069,0.9432,0.943,0.9425,1.6935,1.7727,1.9241,2.0724,1.8958,1,1.0532,0.8219,1.0265,0.7751
1372,"behenate (22:0)*",Lipid,"Long Chain Saturated Fatty Acid",12125,LC/MS Neg,314,6745,339.3268,112-85-6,8215,7923,C08281,HMDB00944,2.5472,1.0062,0.9336,0.9758,1.7599,0.5637,0.9128,0.7938,1.2467,1.0428,1.0523,1.4885,0.5947,0.6372,1
2818,"behenoyl dihydrosphingomyelin (d18:0/22:0)*",Lipid,"Dihydrosphingomyelins",57331,LC/MS Pos Late,100009026,3150,789.6844,,,24846880,,HMDB12091,0.595,0.5543,0.5569,0.4041,0.3621,1.2712,1.1176,1.0294,1.3777,1.2363,0.991,1,1.0545,1.1433,0.8318
2824,"behenoyl sphingomyelin (d18:1/22:0)*",Lipid,"Sphingomyelins",48492,LC/MS Pos Late,100006294,3083,787.6688,,,24846873,,HMDB12103,1.1324,0.9471,1,0.811,1.0185,0.5598,0.5541,0.5387,0.6014,0.4698,1.4878,1.3706,1.0917,1.0571,1.2416
4134,"benzoate",Xenobiotics,"Benzoate Metabolism",15778,LC/MS Neg,100000008,1750,121.0295,65-85-0,243,238,C00180,HMDB01870,1.1231,0.8869,1,0.7993,0.921,0.4126,1.1159,1.0445,1.4623,0.7401,1.0298,1.0865,0.9157,1.1629,0.463
3917,"beta-alanine",Nucleotide,"Pyrimidine Metabolism, Uracil containing",55,LC/MS Pos Early,244,1905,90.055,56-41-7;107-95-9,239,234,C00099,HMDB00056,0.7633,0.714,0.7594,0.7532,0.7143,0.9229,1.0032,1,1.022,0.9456,1.4529,1.5674,1.236,1.4376,1.171
54,"beta-citrylglutamate",Amino Acid,"Glutamate Metabolism",54923,LC/MS Neg,100003271,530,320.0623,73590-26-8,72715786,19992713,C20775,,0.8679,0.9484,1.0267,0.9275,0.9286,0.9521,1,0.9761,1.0363,0.9461,1.9096,1.9408,1.6467,1.9488,1.393
4421,"beta-guanidinopropanoate",Xenobiotics,"Food Component/Plant",35101,LC/MS Pos Early,100001411,2145,132.0768,353-09-3,67701,61020,C03065,HMDB13222,1.1982,0.9646,1,1.1329,0.9324,0.9044,0.9197,0.8823,0.9215,0.9951,1.9957,2.1073,1.6332,2.1763,1.5621
320,"beta-hydroxyisovalerate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",12129,LC/MS Polar,1442,1149.8,117.0557,625-08-1,69362,62571,,HMDB00754,1.227,1.1265,1.3271,1.2142,1.5887,0.4239,1.2407,0.7138,1.442,0.5662,0.9686,1,0.8204,0.7814,0.8655
6,"betaine",Amino Acid,"Glycine, Serine and Threonine Metabolism",3141,LC/MS Pos Early,799,1064,118.0863,107-43-7,247,24219951173,C00719,HMDB00043,0.9829,0.9365,1.0116,1.0337,1.042,0.9459,1.0414,1.1091,1.1327,1.027,0.9421,1,0.7433,0.8826,0.7806
1615,"butyrylcarnitine (C4)",Lipid,"Fatty Acid Metabolism (also BCAA Metabolism)",32412,LC/MS Pos Early,100001054,2860,232.1543,25576-40-3,439829,184820,C02862,HMDB02013,1.1393,1.1401,1.2018,1.463,1.4515,0.7519,0.914,1,0.9658,0.9428,1.0467,1.0998,0.7099,0.954,0.8972
242,"C-glycosyltryptophan",Amino Acid,"Tryptophan Metabolism",48782,LC/MS Pos Early,100006379,2700,367.15,180509-18-6,10981970,9157171,,,1.5278,1.464,1.7297,2.1173,1.6551,0.5528,0.5058,0.5058,0.7115,0.5342,1.0469,1.1069,0.7924,0.9531,0.8118
1351,"caproate (6:0)",Lipid,"Medium Chain Fatty Acid",32489,LC/MS Neg,926,2713.7,115.0764,142-62-1,8892,8552,C01585,HMDB00535,0.9119,0.5277,0.8768,0.9117,0.8709,1.3761,1.537,1.1852,1.2119,0.9858,1.1627,1.0581,1.0142,0.9652,0.5277
1353,"caprylate (8:0)",Lipid,"Medium Chain Fatty Acid",32492,LC/MS Neg,932,4362,143.1078,124-07-2,379,370,C06423,HMDB00482,1.5825,0.9749,1.1007,1.0437,0.9899,1.1457,1.3332,1.6397,1.4652,1,0.8683,0.9634,0.4433,0.8868,0.6835
56,"carboxyethyl-GABA",Amino Acid,"Glutamate Metabolism",40007,LC/MS Pos Early,100003260,2085,176.0917,02-Mar-4386,2572,2474,,HMDB02201,1.1902,1,1.0497,1.0643,1.1387,0.9732,1.1876,1.203,1.1364,0.9726,0.6437,0.8553,0.9495,0.7246,0.7079
1728,"carnitine",Lipid,"Carnitine Metabolism",15500,LC/MS Pos Early,100000007,1978,162.1125,461-05-2,10917,10455,C00318,HMDB00062,0.8252,0.8616,0.8844,0.8964,0.9033,1.1035,0.9871,1.1082,1.2225,1.0675,1.2083,1.1752,1,1.289,0.9752
79,"carnosine",Amino Acid,"Histidine Metabolism",1768,LC/MS Pos Early,249,2942,227.1139,305-84-0,439224,388363,C00386,HMDB00033,0.9127,0.9579,1.0819,1,0.984,0.8707,0.9261,0.919,1.0382,0.917,1.3854,1.4392,1.1747,1.52,1.0857
2770,"ceramide (d16:1/24:1, d18:1/22:1)*",Lipid,"Ceramides",57437,LC/MS Pos Late,100015727,3850,620.5976,,,,,,1.5519,1.5574,1.8925,0.9049,0.8628,1.0737,1.0772,1,1.3131,1.0528,0.6984,0.7996,0.7266,0.6983,0.5775
2766,"ceramide (d18:1/14:0, d16:1/16:0)*",Lipid,"Ceramides",57432,LC/MS Pos Late,100015735,2477,510.4881,,,,,,1.2651,1.0411,1.0534,0.73,0.8883,1.003,1.178,1,1.0674,1.0419,0.5966,0.6186,0.6201,0.4786,0.5123
2767,"ceramide (d18:1/17:0, d17:1/18:0)*",Lipid,"Ceramides",57434,LC/MS Pos Late,100015737,3055,552.535,,,,,,1.1299,1.2113,1.4138,0.6459,0.6136,1.0161,1.0236,1.0172,1.1267,1,0.6901,0.7406,0.6854,0.6755,0.6037
2769,"ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*",Lipid,"Ceramides",57440,LC/MS Pos Late,100015755,3920,594.582,,,,,,1.553,1.6958,1.5527,0.8388,0.7339,1.1849,1.1198,1,1.1305,1.0378,0.6829,0.839,0.7825,0.7136,0.5336
2771,"ceramide (d18:2/24:1, d18:1/24:2)*",Lipid,"Ceramides",57443,LC/MS Pos Late,100015744,3858,646.6133,,,,,,1.1085,1.1064,1.2607,0.8348,0.8041,1.0546,1.0528,1,1.1802,1.0443,0.6825,0.7676,0.64,0.723,0.5842
2910,"cholesterol",Lipid,"Sterol",63,LC/MS Pos Late,266,2707,369.3516,57-88-5,11025495,4937803,C00187,HMDB00067,0.8526,1.1099,1.0369,0.9589,0.9911,0.8476,1,1.0269,1.0375,0.9654,1.2939,1.2572,0.8996,1.3523,0.9722
2001,"choline",Lipid,"Phospholipid Metabolism",15506,LC/MS Pos Early,1256,1961,104.107,67-48-1,305,149278,C00114,HMDB00097,0.9504,0.9288,1.0292,0.9693,0.9557,0.9079,1.0533,1.0047,1.0762,1,1.0888,1.1594,0.9897,1.0272,0.868
2002,"choline phosphate",Lipid,"Phospholipid Metabolism",34396,LC/MS Pos Early,267,700,184.0733,72556-74-2,1014,119298,C00588,HMDB01565,0.9817,1,1.0211,1.048,1.0181,0.7565,0.777,0.7736,0.8238,0.7379,1.2017,1.2425,1.0524,1.2497,0.9582
1305,"citrate",Energy,"TCA Cycle",1564,LC/MS Neg,1124,582,191.0197,77-92-9,311,305,C00158,HMDB00094,1,1.0066,1.0986,0.8698,0.9413,1.0834,1.0513,1.1686,1.2417,1.0895,0.9022,0.8813,0.7503,0.8232,0.7654
435,"citrulline",Amino Acid,"Urea cycle; Arginine and Proline Metabolism",2132,LC/MS Pos Early,391,1520,176.103,372-75-8,9750,810,C00327,HMDB00904,0.8985,0.9504,1.0811,1.1106,1,1.1452,1.0629,1.1172,1.4023,1.2437,0.7502,0.7206,0.6598,0.8907,0.657
525,"CoA-glutathione*",Amino Acid,"Glutathione Metabolism",62804,LC/MS Neg,269,1326,535.0844,6477-52-7,11953788,10128089,C00920,,1.0118,1.1309,1.0641,0.91,0.9471,0.877,1.0318,0.8594,0.795,0.7976,1.1718,1.2635,0.8138,1.2468,1
4011,"coenzyme A",Cofactors and Vitamins,"Pantothenate and CoA Metabolism",46322,LC/MS Neg,270,1448,382.5503,85-61-0;18439-24-2,317,311,C00010,HMDB01423,1,0.9138,1.0722,0.9872,0.9723,0.9474,1.0253,1.0563,1.1559,0.9933,1.1,1.0418,0.8805,1.0906,0.9186
469,"creatine",Amino Acid,"Creatine Metabolism",27718,LC/MS Pos Early,1221,1947,132.0768,57-00-1,586,566,C00300,HMDB00064,1.0465,1,1.0044,1.0206,1.0389,0.7284,0.8135,0.8369,0.8399,0.7479,1.1429,1.2008,0.9731,1.1321,0.9546
471,"creatine phosphate",Amino Acid,"Creatine Metabolism",33951,LC/MS Polar,100000112,3831,210.0285,922-32-7,9548602,567,C02305,HMDB01511,0.8435,0.8832,1.1079,0.5797,0.7692,1.0629,0.7338,1,0.8743,0.7674,3.0626,3.0469,2.4894,2.5801,2.3095
470,"creatinine",Amino Acid,"Creatine Metabolism",513,LC/MS Pos Early,275,2055,114.0662,60-27-5,588,568,C00791,HMDB00562,1.014,0.9739,1.0788,0.9868,1,0.9012,0.9071,0.9403,1.0164,0.8924,1.2859,1.2929,1.0503,1.1321,0.973
506,"cyclic dGSH",Amino Acid,"Glutathione Metabolism",63006,LC/MS Polar,100021034,2483,305.0449,,,,,,1.0332,0.8335,0.9404,0.9734,1.0652,1.2013,1.5284,1.3577,1.415,1.2889,1,0.986,0.8592,0.9507,0.7952
401,"cystathionine",Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",15705,LC/MS Pos Early,310,2270,223.0747,535-34-2,439258,811,C02291,HMDB00099,0.5434,0.5437,0.5852,0.6214,0.5925,1.5578,1.6061,1.5121,1.9224,1.6608,1.0319,1.1034,1,0.9594,0.7158
403,"cysteine",Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",1868,LC/MS Pos Early,800,1475,122.027,52-90-4;56-89-3,5862,5653,C00097,HMDB00574,1,1.0614,1.1137,0.9196,0.8894,1.0741,1.1641,1.1032,1.3732,1.2219,0.5561,0.5394,0.4966,0.5596,0.406
415,"cysteine sulfinic acid",Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",37443,LC/MS Pos Early,100002113,597,154.0169,207121-48-0,109,107,C00606,HMDB00996,0.7003,0.5849,0.8307,0.9948,1,0.9007,1.0718,1.3259,1.1256,1.0353,1.0069,1.0971,0.8168,1.1591,0.904
508,"cysteine-glutathione disulfide",Amino Acid,"Glutathione Metabolism",35159,LC/MS Pos Early,100001437,2465,427.0952,13081-14-6,4247235,3455404,,HMDB00656,0.3525,0.1932,0.2639,0.1932,0.1932,0.9513,1.1072,1.2079,1.5254,1.0487,0.1932,0.1932,0.1932,0.1932,0.1932
